author,title,token_count,type_count,avg_sentence_length,avg_commas_per_sentence,lexical_richness,type_token_ratio,ratio_名詞,ratio_動詞,ratio_形容詞,ratio_副詞,keywords,topics,cluster,pc1,pc2,tsne_x,tsne_y
芥川 竜之介,1_秋_cleaned,1457,910,21.65,1.269,0.1792,0.1792,0.2313,0.1242,0.0152,0.0285,"照子, 従兄, 小説, 一しよ, 自身, 手紙, 話す, 言葉, 返事, 帰る","T0: 甚太夫, 兵衛, 求馬, 左近, 平太郎 | T1: 自身, 友だち, 近い, 眺める, 生活 | T2: 自分, 少年, 照子, 歩く, 往来",1,-0.7066204528149866,0.6915620914249508,-1.4598846,2.3054512
芥川 竜之介,3_あの頃の自分の事_cleaned,2221,1239,28.72,1.859,0.1686,0.1686,0.2366,0.1244,0.014,0.0262,"自分, 松岡, 講義, 大学, 小説, ノオト, 同じ, 先生, 人間, 食ふ","T0: 甚太夫, 兵衛, 求馬, 左近, 平太郎 | T1: 自身, 友だち, 近い, 眺める, 生活 | T2: 自分, 少年, 照子, 歩く, 往来",1,-0.2706219097099201,0.7201486396274771,-1.2729666,2.9013898
芥川 竜之介,5_或敵打の話_cleaned,1488,888,22.94,1.412,0.2086,0.2086,0.2607,0.1315,0.0131,0.0239,"甚太夫, 兵衛, 求馬, 左近, 平太郎, 一行, 瀬沼, 打つ, 城下, 恩地","T0: 甚太夫, 兵衛, 求馬, 左近, 平太郎 | T1: 自身, 友だち, 近い, 眺める, 生活 | T2: 自分, 少年, 照子, 歩く, 往来",1,-0.31266687522064196,1.4088318924627927,-0.8499091,4.8146067
芥川 竜之介,4_或阿呆の一生_cleaned,1697,1022,19.79,0.483,0.1784,0.1784,0.237,0.1186,0.0144,0.0178,"自身, 友だち, 近い, 眺める, 思ひ出す, 生活, 読む, 一度, 言葉, 違ひ","T0: 甚太夫, 兵衛, 求馬, 左近, 平太郎 | T1: 自身, 友だち, 近い, 眺める, 生活 | T2: 自分, 少年, 照子, 歩く, 往来",1,0.08757541098878974,1.4601686719185678,-3.7668056,4.941485
芥川 竜之介,2_浅草公園_cleaned,1090,509,13.76,0.428,0.1744,0.1744,0.2711,0.1353,0.0113,0.0231,"少年, 歩く, 後ろ, 斜め, 飾り窓, 人形, 変る, 往来, むし, 父親","T0: 甚太夫, 兵衛, 求馬, 左近, 平太郎 | T1: 自身, 友だち, 近い, 眺める, 生活 | T2: 自分, 少年, 照子, 歩く, 往来",1,0.008226472676877256,1.1691861359671458,0.4622884,5.484913
梶井 基次郎,2_城のある町にて_cleaned,2266,1339,19.66,0.673,0.1582,0.1582,0.2076,0.1583,0.0167,0.0238,"帰る, ゆく, 笑う, 祖母, 自分, 思える, 歩く, 義兄, 女の子, 高い","T0: 自分, 帰る, ゆく, 青年, 笑う | T1: 自分, 母親, ゆく, 死ぬ, 帰る | T2: 然し, 自分, 言葉, 電車, ゆく",2,-0.9877386658096262,-0.8996091458360435,0.42493317,-4.2495184
梶井 基次郎,5_冬の蠅_cleaned,1391,871,20.95,0.429,0.189,0.189,0.2007,0.1663,0.0173,0.0202,"ゆく, 歩く, 身体, 部屋, 自動車, 風景, 自分, 帰る, 温泉, 落ちる","T0: 自分, 帰る, ゆく, 青年, 笑う | T1: 自分, 母親, ゆく, 死ぬ, 帰る | T2: 然し, 自分, 言葉, 電車, ゆく",2,-1.3646906948137039,-0.7044036762630409,1.1662966,-5.4532013
梶井 基次郎,3_橡の花_cleaned,1250,797,18.91,0.223,0.1691,0.1691,0.1912,0.1445,0.0189,0.021,"然し, 自分, 言葉, 電車, ゆく, 美しい, 笑う, 可愛い, 面白い, 乗る","T0: 自分, 帰る, ゆく, 青年, 笑う | T1: 自分, 母親, ゆく, 死ぬ, 帰る | T2: 然し, 自分, 言葉, 電車, ゆく",2,-1.2156375858211654,-0.34989970666264536,-0.24893622,-2.7770965
梶井 基次郎,4_のんきな患者_cleaned,1898,969,56.21,1.581,0.1207,0.1207,0.2082,0.1625,0.0146,0.0302,"自分, 母親, 死ぬ, 病気, 人間, 寝る, 不安, 悪い, 帰る, 非常","T0: 自分, 帰る, ゆく, 青年, 笑う | T1: 自分, 母親, ゆく, 死ぬ, 帰る | T2: 然し, 自分, 言葉, 電車, ゆく",2,-1.1051564411156038,-1.6576408912387859,-0.37818307,-5.9265532
梶井 基次郎,1_ある崖上の感情_cleaned,1396,802,25.87,0.691,0.1545,0.1545,0.2018,0.1459,0.0169,0.0292,"自分, 青年, 眺める, 部屋, 空想, 崖路, 生島, 秘密, 崖下, 相手","T0: 自分, 帰る, ゆく, 青年, 笑う | T1: 自分, 母親, ゆく, 死ぬ, 帰る | T2: 然し, 自分, 言葉, 電車, ゆく",2,-1.3240387544346746,-0.7709853738451378,-1.7901684,-4.114561
