year,month,title,artist,lyrics
2010,1,冬恋,関ジャニ∞[エイト],
2010,1,I wish,関ジャニ∞[エイト],
2010,1,はつ恋,福山雅治,
2010,1,シャツを洗えば,くるりとユーミン,
2010,1,ダズント・ミーン・エニシング〜あなたがいないなら,アリシア・キーズ,
2010,1,君にサヨナラを,桑田佳祐,
2010,1,恋人たちのクリスマス,マライア・キャリー,
2010,1,ハッピー,レオナ・ルイス,
2010,1,クリスマス・イブ,山下達郎,
2010,1,Merry Christmas,BUMP OF CHICKEN,
2010,4,時ヲ止メテ,東方神起,
2010,4,三味線旅がらす,氷川きよし,
2010,4,フォー・ユア・エンターテイメント,アダム・ランバート,
2010,4,BYE BYE,加藤ミリヤ,
2010,4,ナチュラルに恋して,Perfume,
2010,4,ユー・アンド・アイ,セルジオ・メンデス,
2010,4,キミがいるから,Kylee,
2010,4,beat,aiko,
2010,4,桜雨,JUJU,
2010,4,Troublemaker,嵐,
2010,7,Okay,稲葉浩志,
2010,7,京都物語,原由子,
2010,7,VICTORY,EXILE,
2010,7,reboot〜あきらめない詩〜,flumpool,
2010,7,タマシイレボリューション,Superfly,
2010,7,つぐみ,スピッツ,
2010,7,Addicted to love,w-inds.,
2010,7,Ring a Ding Dong,木村カエラ,
2010,7,LOVE RAIN〜恋の雨〜,久保田利伸,
2010,7,言葉をきいて,ROCK'A'TRENCH,
2010,10,もっと強く,EXILE,
2010,10,好きで、好きで、好きで。,倖田來未,
2010,10,crossroad,浜崎あゆみ,
2010,10,ループ,ねごと,
2010,10,Wildflower,Superfly,
2010,10,カイト,BONNIE PINK,
2010,10,ミザリー,マルーン5,
2010,10,Love Rainbow,嵐,
2010,10,今、君に言っておこう,藤井フミヤ,
2010,10,GENIE,少女時代,
2011,1,A winter fairy is melting a snowman,木村カエラ,
2011,1,Can't Wait 'Til Christmas,宇多田ヒカル,
2011,1,流星,コブクロ,
2011,1,Eyes On Me,Superfly,
2011,1,春夏秋冬,NIKIIE,
2011,1,恋人たちのクリスマス,マライア・キャリー,
2011,1,LOVE is.,MiChi,
2011,1,チャンスの順番,AKB48,
2011,1,クリスマス・ライツ,コールドプレイ,
2011,1,運命のしずく〜Destiny's star〜,GIRL NEXT DOOR,
2011,4,鬱くしき人々のうた,マキシマム ザ ホルモン,
2011,4,ボーン・ディス・ウェイ,レディー・ガガ,
2011,4,スロー,ルーマー,
2011,4,週末Not yet,Not yet,
2011,4,ランウェイ☆ビート,FUNKY MONKEY BABYS,
2011,4,ジェットコースターラブ,KARA,
2011,4,ルーキー,サカナクション,
2011,4,桜の木になろう,AKB48,
2011,4,Hey和,ゆず,
2011,4,ロケッティア feat.ライアン・テダー・オブ・ワンリパブリック,ファー・イースト・ムーヴメント,
2011,7,Flower,前田敦子,
2011,7,Replay-君は僕のeverything-,SHINee,
2011,7,花束,back number,
2011,7,No cry No more,AAA,
2011,7,花唄,GReeeeN,
2011,7,GO GO サマー!,KARA,
2011,7,FLAGS,T.M.Revolution,
2011,7,ラン・ザ・ワールド(ガールズ),ビヨンセ,
2011,7,マル・マル・モリ・モリ!,薫と友樹、たまにムック。,
2011,7,プライス・タグ feat.B.o.B,ジェシー・J,
2011,10,Magic Power,Hey!Say!JUMP,
2011,10,Rising Sun,EXILE,
2011,10,情熱のマリアッチ,氷川きよし,
2011,10,フライングゲット,AKB48,
2011,10,ワンモアタイム,ポルノグラフィティ,
2011,10,More Kiss,Fairies,
2011,10,愛を止めないで,倖田來未,
2011,10,オン・マイ・マインド,コーディー・シンプソン,
2011,10,ミラクル・ワーカー,スーパーヘヴィ,
2011,10,デイズ・アー・フォーガットゥン,カサビアン,
2012,1,僕の半分,SMAP,
2012,1,ハピネス,AI,
2012,1,やさしくなりたい,斉藤和義,
2012,1,CHASE,L'Arc〜en〜Ciel,
