year,month,title,artist,lyrics
2010,1,冬恋,関ジャニ∞[エイト],"こんなに寒かったんだな
ひとりで過ごす冬の日
去年の今頃　君と
小さく寄り添い歩いた帰り道
コートのポケットでかじかんだ指が
不意にね　君の手のひらの温もり探してる
セツナサヒラヒラ　空から舞い降りる
君がいなくなって　ひとりぼっちの冬の夜
恋しい気持ちが　この声が　届かなくても
もう一度　会いたくて　会いたくて
まだ　サヨナラが言えない
どうして時にコトバは
素直じゃいられないんだろう
時間を巻き戻せたとしても
やっぱり君を傷付けてしまうのかな？
言えずの“ごめんね”が胸につっかえてる
今さら　らしくもないけれど
涙　止まらなくて
忘れたふりしたって　忘れらんない　君のこと
強がるたび　ぎゅっと寂しさが胸を締める
何度も何度も　振り返る帰り道
分かってる　会えないね　会えないね
もう　ここに君はいない
北風の街　いろんな思い出たち
はがれ落ち　たちまち胸を焦がす
きっと二人　ちょっと大人になれなかったねって　一人ふけっても
鼻をすすって泣いてるの誤魔化して歩く
気付く…　“君だけが足りない”
セツナサヒラヒラ　空から舞い降りる
君がいなくなって　ひとりぼっちの冬の夜
忘れたふりしたって　忘れらんない　寂しさが
雪のように積もって　凍え死んでしまいそうだ
愛しい気持ちが　この声が　届かなくても
もう一度　会いたくて　会いたくて
まだ　サヨナラが言えない
きっと…　言えない…"
2010,1,I wish,関ジャニ∞[エイト],
2010,1,はつ恋,福山雅治,"この想いが君を
苦しめてしまうとしても
傷つけてしまうとしても
君が欲しくて
たがいに手に入れた
新しい幸せ
いまこの手で
壊してしまいそう
帰るべき場所がある
守るべき人がいる
愚かすぎる過ちと
知っているから…
友達ではいられないことも
恋人には戻れないことも
わかってるよ でもこの真心を
永遠の はつ恋と呼ばせて
また ひとり読み返してる
誕生日に君がくれた手紙
ささやかな君の夢が
胸を掻きむしる
君が抱えていた
消えぬ愛の傷跡
触れないことが
やさしさと思ってた
どんなに大切でも
言葉にもカタチにも出来なけりゃ
やさしさなど無意味さ…
ずっと探してた これが愛ならば
愛の謎はもう解き明かしてる
叶わぬけれど　かけがえのない想いを
ひとり抱きしめて生きるよ
時間はいつか
この恋に答えをくれるの?
もう一度 あの日のように
人を愛することなど出来るの?
友達ではいられないことも
恋人には戻れないことも
わかってるよ でもこの真心を
永遠の はつ恋と呼ばせて
せめて はつ恋と呼ばせて
永遠の はつ恋と呼ばせて"
2010,1,シャツを洗えば,くるりとユーミン,
2010,1,ダズント・ミーン・エニシング〜あなたがいないなら,アリシア・キーズ,
2010,1,君にサヨナラを,桑田佳祐,
2010,1,恋人たちのクリスマス,マライア・キャリー,
2010,1,ハッピー,レオナ・ルイス,
2010,1,クリスマス・イブ,山下達郎,
2010,1,Merry Christmas,BUMP OF CHICKEN,
2010,4,時ヲ止メテ,東方神起,
2010,4,三味線旅がらす,氷川きよし,
2010,4,フォー・ユア・エンターテイメント,アダム・ランバート,
2010,4,BYE BYE,加藤ミリヤ,
2010,4,ナチュラルに恋して,Perfume,"ナチュラルに恋して　ナチュラルにキスをしてよ　ねぇ
ナチュラルに愛して　このまま手をつないでたいの
ナチュラルに恋して　ナチュラルに肩を寄せあって
ナチュラルに愛して　何気ない　気持ちがいちばんのほんもの
ぜんぜん　がんばってくれない
今日は　記念の日なのに
テレビを見て　時計の針は進む
急がしそうにしている　キミの携帯電話
ちょっと　誰から　メール届いているの？
キミは人気者だし　不安にもなるけれど
そうやって　笑うたび　安心しちゃうの
ナチュラルに恋して　ナチュラルにキスをしてよねぇ
ナチュラルに愛して　このまま手をつないでたいの
ナチュラルに恋して　ナチュラルに肩を寄せあって
ナチュラルに愛して　何気ない　気持ちがいちばんのほんもの
キミの好きそうな映画　がんばって横で観るけど
ちょっと　眠たい　肩を借りて眠る
キミは人気者だし　不安にもなるけれど
そうやって　寄り添うたび　安心しちゃうの
ナチュラルに恋して　ナチュラルにキスをしてよ　ねぇ
ナチュラルに愛して　このまま手をつないでたいの
ナチュラルに恋して　ナチュラルに肩を寄せあって
ナチュラルに愛して　何気ない　気持ちがいちばんのほんもの
ナチュラルに恋して"
2010,4,ユー・アンド・アイ,セルジオ・メンデス,
