year,title,artist,lyrics
1968,星影のワルツ,千昌夫,別れることは つらいけど 仕方がないんだ 君のため 別れに 星影のワルツを うたおう 冷たい心じゃ ないんだよ 冷たい心じゃ ないんだよ 今でも好きだ 死ぬほどに 一緒になれる 幸せを 二人で夢見た ほほえんだ 別れに 星影のワルツを うたおう あんなに愛した 仲なのに あんなに愛した 仲なのに 涙がにじむ 夜の窓 さよならなんて どうしても いえないだろうな 泣くだろうな 別れに 星影のワルツを うたおう 遠くで祈ろう 幸せを 遠くで祈ろう 幸せを 今夜も星が 降るようだ
1968,恋の季節,ピンキーとキラーズ,忘れられないの あの人が好きよ 青いシャツ着てさ 海を見てたわ 私ははだしで 小さな貝の舟 浮かべて泣いたの わけもないのに 恋は私の恋は 空を染めて燃えたよ 死ぬまで私を ひとりにしないと あの人が云った 恋の季節よ ルルル････ 恋は私の恋は 空を染めて燃えたよ 夜明けのコーヒー ふたりで飲もうと あの人が云った恋の季節よ 恋は私の恋は 空を染めて燃えたよ 夜明けのコーヒー ふたりで飲もうと あの人が云った 恋の季節よ 恋の季節よ 恋の季節よ
1968,小樽のひとよ,鶴岡雅義と東京ロマンチカ,逢いたい気持ちが ままならぬ 北国の街は つめたく遠い 粉雪まいちる 小樽の駅に ああ一人残して 来たけれど 忘れはしない 愛する人よ 二人で歩いた 塩谷の浜辺 偲べば懐かし 古代の文字よ 悲しい別れを 二人で泣いた ああ白い小指の つめたさが この手の中に いまでも残る 小樽は寒かろ 東京も こんなにしばれる 星空だから 語り明かした 吹雪の夜を ああ思い出してる 僕だから かならずいくよ 待ってておくれ 待ってておくれ
1968,恋のしずく,伊東ゆかり,肩をぬらす 恋のしずく 濡れたままでいいの このまま歩きたい きっとからだの 中までしみるわ そして あなたの あなたの言葉を 忘れないように したいの 頬をぬらす 恋のしずく あなたのせいなのよ 私のためにだけ それは二人の 愛のしるしね だから やさしい やさしい心を じっとだきしめて いたいの 髪をぬらす 恋のしずく やさしい手が 触れると 青空が見えるの そうよ あなたは 太陽なのね だから 私は 私は いつでも あなたを愛して いたいの
1968,盛り場ブルース,森進一,咲いて流れて 散って行く 今じゃ私も 涙の花よ どこにこぼした まことの涙 さがしたいのよ 銀座 赤坂 六本木 お酒飲むのも なれました むせるタバコに あなたを忍ぶ 小雪はらって 今夜もひとり 酔ってみたいの洞爺 すすきの 定山渓 酔ってもえてる この腕に あなたならばと 瞳をふせる 想い出させる 七夕の夜 恋の細道 青葉 国分 一番町 泣けぬ私の 身がわりに ついだお酒が この手をぬらす 夜のお城の つれない風に 髪も乱れる 栄 今池 広小路 通り雨には すがれない いっそ 明日が来ないでほしい すがるこいさん 涙にぬれて 帰るあてなく 南 曾根崎 北新地 路地のひかげの 小石でも いつか 誰かがひろってくれる 願いをかけた チャペルの鐘が 今日もせつない 薬研 八丁 本通り グラス片手に 酔いしれて 夢のあの日が お酒に浮かぶ ぐちも言います 人形だって 誰がなかせる 中洲 天神 柳町 流れたくない 流れたい 愛したくない 愛していたい 何を信じて 生きてく女 春はいつくる 渋谷 新宿 池袋
1968,思案橋ブルース,高橋勝とコロラティーノ,哭いているような 長崎の街 雨に打たれて ながれた ふたつの心は かえらないかえらない 無情の雨よ ああ 長崎 思案橋ブルース 呼んでくれるな 俺のなまえを もどりはしないさ 昔の 気ままな この俺 忘れてよ忘れてよ つれない雨よ ああ 長崎 思案橋ブルース 夢は捨てたのさ 今のこの俺 じっと孤独をかみしめた お前を好きだと いってみたいってみた 冷たい雨に ああ 長崎 思案橋ブルース
1968,霧にむせぶ夜,黒木憲,涙じゃないよと 言いたいけれど こらえても こらえても まつ毛がぬれる 君よりせつない この俺なのさ だから笑顔が ほしいのに さよならが さよならが 霧にむせぶ夜 逢いたくなったら 夢でも逢える はなれても はなれても かわらぬ心 君よりはげしい この恋なのさ だから死ぬほど つらいのに さよならが さよならが 霧にむせぶ夜 分ってくれたら 泣くのをやめて いつまでも いつまでも 待たせはしない 君よりさみしい この胸なのさ だからみじかい 旅なのに さよならが さよならが 霧にむせぶ夜
1968,花と蝶,森進一,花が女か 男が蝶か 蝶のくちづけ うけながら 花が散るとき 蝶が死ぬ そんな恋する 女になりたい 花が咲くとき 蝶が飛ぶ 蝶が死ぬとき 花が散る 春を競って あでやかに どちらも どちらも 命を賭ける 花のいのちは 短いけれど 蝶のいのちも はかなくて 花が散るとき 蝶が死ぬ そんな恋する 二人になりたい
1968,虹色の湖,中村晃子,幸せが住むという 虹色の湖 幸せに会いたくて 旅に出た私よ ふるさとの村にある 歓びも忘れて あてもなく呼びかけた 虹色の湖 さよならが言えないで うつむいたあの人 ふるさとの星くずも 濡れていたあの夜 それなのにただひとり ふりむきもしないで あてもなく呼びかけた 虹色の湖 虹色の湖は まぼろしの湖 ふるさとの想い出を かみしめる私よ 帰るにはおそすぎて あの人も遠くて 泣きながら呼んでいる まぼろしの湖
1968,釧路の夜,美川憲一,貴方(あなた)のつめたい　そのひとみ なぜに私を　いじめるの やさしく抱いて　ほしいのに 女心も　知らないで 貴方がにくい　貴方がにくい 風のつめたい　釧路川(くしろがわ) 今日も一人で　来てみたの しばれた心を　抱きしめて 女心も　知らないで 貴方がにくい　貴方がにくい 霧は降る降る　今日も又 一人歩きの　ヌサマイ橋よ 船の汽笛も　泣いている 女心も　知らないで 貴方がにくい　貴方がにくい
1968,星を見ないで,伊東ゆかり,私はあなたの 目を見るわ それが心に 広がって 愛がからだを 流れたら もう 星を見ないわ だから 星を見ないで あなたの胸に 顔をふせて あなたは私の 手にふれる 指が言葉を さがしても 熱く小さく ふるえるだけよ もう 星を見ないわ だから 星を見ないで あなたのなかに 住んでいたいの あなたはわたしに ささやくの 耳に鼓動が なみうって 返す言葉が とぎれたら もう 星を見ないわ だから 星を見ないで あなたはすべて 昼も夜も
1969,港町ブルース,森進一,背のびして見る海峡を 今日も汽笛が遠ざかる あなたにあげた 夜をかえして 港、港 函館 通り雨 流す涙で割る酒は だました男の味がする あなたの影を ひきずりながら 港、宮古 釜石 気仙沼 出船 入船 別れ船 あなた乗せない帰り船 うしろ姿も 他人のそら似 港、三崎 焼津に 御前崎 別れりゃ 三月 待ちわびる 女心のやるせなさ 明日はいらない 今夜が欲しい 港、高知 高松 八幡浜 呼んでとどかぬ人の名を こぼれた酒と指で書く 海に涙の ああ愚痴ばかり 港、別府 長崎 枕崎 女心の残り火は 燃えて身をやく桜島 ここは鹿児島 旅路の果てか 港、港町ブルースよ
1969,恋の季節,ピンキーとキラーズ,忘れられないの あの人が好きよ 青いシャツ着てさ 海を見てたわ 私ははだしで 小さな貝の舟 浮かべて泣いたの わけもないのに 恋は私の恋は 空を染めて燃えたよ 死ぬまで私を ひとりにしないと あの人が云った 恋の季節よ ルルル････ 恋は私の恋は 空を染めて燃えたよ 夜明けのコーヒー ふたりで飲もうと あの人が云った恋の季節よ 恋は私の恋は 空を染めて燃えたよ 夜明けのコーヒー ふたりで飲もうと あの人が云った 恋の季節よ 恋の季節よ 恋の季節よ
1969,禁じられた恋,森山良子,禁じられても 逢いたいの 見えない糸に ひかれるの 恋はいのちとおなじ ただひとつのもの だれも二人の愛を こわせないのよ あなたに逢いに 夜をこえて かけてゆきたい 私なのよ 禁じられても 胸のほのお 燃えたつばかり 消えないの 恋をすてろというの むごい言葉よ それはわたしにとって 死ぬことなのよ あなたをもとめ やみの中を かけてゆきたい 私なのよ こんなきれいな恋を なぜわからないの 愛し合う美しさ わかってほしい あなたの胸に 愛をこめて かけてゆきたい 私なのよ 私なのよ 私なのよ
1969,長崎は今日も雨だった,内山田洋とクールファイブ,あなたひとりに かけた恋 愛の言葉を 信じたの さがし さがし求めて ひとり ひとりさまよえば 行けど切ない 石だたみ ああ 長崎は今日も雨だった 夜の丸山 たずねても 冷たい風が 身に沁みる 愛し 愛しのひとは どこに どこにいるのか 教えて欲しい 街の灯よ ああ 長崎は今日も雨だった 頬にこぼれる なみだの雨に 命も恋も 捨てたのに こころ こころ乱れて 飲んで 飲んで酔いしれる 酒に恨みは ないものを ああ 長崎は今日も雨だった
